name,ticker,publication_date,recommendation_type,target_price,publication_price,institution
SYNEKTIK,SNT,2024-07-03,Kupuj,170.00 zł,142.60 zł,BM mBank
11BIT,11B,2024-07-01,Kupuj,830.00 zł,629.00 zł,DM BDM
MOSTALZAB,MSZ,2024-07-01,Kupuj,5.90 zł,4.46 zł,Millennium DM
SUNEX,SNX,2024-06-28,Trzymaj,11.05 zł,10.56 zł,Ipopema Securities
MIRACULUM,MIR,2024-06-28,Trzymaj,1.20 zł,1.11 zł,Ipopema Securities
PHOTON,PEN,2024-06-28,Wycena,7.28 zł,7.48 zł,Noble Securities
MOLECURE,MOC,2024-06-28,Kupuj,19.70 zł,13.80 zł,Noble Securities
TOYA,TOA,2024-06-28,Wycena,12.00 zł,8.46 zł,Noble Securities
RAINBOW,RBW,2024-06-27,Kupuj,165.00 zł,111.00 zł,Trigon DM
UNIBEP,UNI,2024-06-27,Wycena,12.80 zł,9.40 zł,Noble Securities
ANSWEAR,ANR,2024-06-27,Trzymaj,23.70 zł,23.15 zł,Noble Securities
PEPCO,PCO,2024-06-25,Trzymaj,26.50 zł,22.35 zł,Trigon DM
LPP,LPP,2024-06-24,Kupuj,23 500.00 zł,16 880.00 zł,Trigon DM
XTB,XTB,2024-06-21,Trzymaj,69.50 zł,70.84 zł,Noble Securities
SELVITA,SLV,2024-06-17,Akumuluj,74.60 zł,63.70 zł,Noble Securities
AILLERON,ALL,2024-06-13,Kupuj,23.10 zł,17.06 zł,Noble Securities
RAINBOW,RBW,2024-06-12,Kupuj,155.00 zł,103.00 zł,BM Banku Pekao
INTERBUD,ITB,2024-06-11,Kupuj,6.70 zł,3.66 zł,East Value Research
SKARBIEC,SKH,2024-06-11,Kupuj,34.00 zł,22.70 zł,BM Banku Pekao
ARCTIC,ATC,2024-06-11,Przeważaj,,22.60 zł,BM mBank
ENTER,ENT,2024-06-10,Kupuj,77.50 zł,61.00 zł,DM BDM
WARIMPEX,WXF,2024-06-06,Wycena,6.82 zł,3.96 zł,East Value Research
BIOMAXIMA,BMX,2024-06-05,Kupuj,22.90 zł,14.55 zł,DM BDM
